signalGroup,category,forwardHorizon,sampleSize,winRate,avgReturn,medianReturn,maxReturn,minReturn,avgWinner,avgLoser,profitFactor,positiveReturnCount,negativeReturnCount,missingPriceRows,readyStatus,matchedSignalRows,totalSignalRows
flow20D percentile >= 90,Strong inflow percentile,3D,57,0.42105263157894735,-0.0028502567339251635,-0.006421883127498362,0.20068731220059677,-0.3145840032066832,0.07692188776884147,-0.060866361826846356,0.9191150813935635,24,33,7,Watch,64,753
flow20D percentile >= 90,Strong inflow percentile,5D,49,0.4489795918367347,0.0038882301622479797,-0.0013578534172644652,0.28699887165599725,-0.23650402575884366,0.08643468901503952,-0.06337184742150809,1.1113494081200248,22,27,15,Watch,64,753
flow20D percentile >= 90,Strong inflow percentile,10D,27,0.5185185185185185,0.0049633501754976946,0.010983794152294335,0.1529476443325708,-0.12251889590343168,0.05578009791934713,-0.049762378164032464,1.2071544186325123,14,13,37,Not Ready,64,753
flow20D percentile >= 90,Strong inflow percentile,20D,12,0.6666666666666666,0.07737871302915775,0.0272708161092875,0.2084188423366724,-0.024164503267451565,0.12380859526058699,-0.015481051433700738,15.994856136330348,8,4,52,Not Ready,64,753
flow20D percentile <= 10,Large outflow risk,1D,55,0.5272727272727272,0.011513691227415941,0.002219686727622072,0.34219901709166867,-0.09217093072068028,0.04336985234682622,-0.02401818079038783,2.0140603695726953,29,26,0,Watch,55,753
flow20D percentile <= 10,Large outflow risk,3D,53,0.6981132075471698,0.035173279441169644,0.029197052345843133,0.49605490989100787,-0.18243034644972744,0.07217328554275533,-0.050389234668747264,3.312229763258102,37,16,2,Watch,55,753
flow20D percentile <= 10,Large outflow risk,5D,52,0.7115384615384616,0.04617131126357199,0.028177746993464092,0.6868159832413527,-0.22048739062456169,0.09236369197283963,-0.06776989448595486,3.361823740877867,37,15,3,Watch,55,753
flow20D percentile <= 10,Large outflow risk,10D,49,0.6326530612244898,0.0614636534587068,0.058423638454544013,0.5964621280864435,-0.286395485708556,0.15809138693116745,-0.10495077641053095,2.594249504641763,31,18,6,Watch,55,753
flow20D percentile <= 10,Large outflow risk,20D,49,0.6938775510204082,0.1440529526770163,0.15001900122895373,0.6656375771318912,-0.25053559893903066,0.25825610924462983,-0.11480753554290767,5.098798711422997,34,15,6,Watch,55,753
at least 3 positive days in latest 5D,Persistent inflow,1D,302,0.5695364238410596,0.008983813357584344,0.005561055314629693,0.2016128375842019,-0.30513899960432866,0.04087943267510307,-0.033216544508671196,1.6283040515182503,172,130,0,Usable,302,753
at least 3 positive days in latest 5D,Persistent inflow,3D,296,0.5540540540540541,0.024583684792401556,0.009045728052320845,0.5013440847293478,-0.3145840032066832,0.08572618865437782,-0.051381244248235626,2.072902214673216,164,132,6,Usable,302,753
at least 3 positive days in latest 5D,Persistent inflow,5D,287,0.5679442508710801,0.04216845206199466,0.011506347286566188,0.6236558912365213,-0.23705593371992417,0.11909843817942001,-0.05895725549558866,2.6554292022822,163,124,15,Usable,302,753
at least 3 positive days in latest 5D,Persistent inflow,10D,259,0.637065637065637,0.10581715635176467,0.03482666015624991,1.100196942438358,-0.2434345321126965,0.19755279169193546,-0.055208161000662774,6.281103950890334,165,94,43,Usable,302,753
at least 3 positive days in latest 5D,Persistent inflow,20D,200,0.69,0.25235960824805226,0.10887629797965892,1.6971935115585235,-0.35277246624865055,0.4086092048009564,-0.09542175182131503,9.531212610071037,138,62,102,Usable,302,753
at least 4 positive days in latest 5D,Persistent inflow,1D,121,0.512396694214876,0.005456242226873476,0.0016683282063019167,0.1936339683584518,-0.14147965577306676,0.04179752958254151,-0.032732907197726833,1.341855382156776,62,59,0,Usable,121,753
at least 4 positive days in latest 5D,Persistent inflow,3D,119,0.5210084033613446,0.02480388298214507,0.004926856938710644,0.3508399720646782,-0.2878681928487268,0.09756665950025517,-0.05434159323053609,1.952926517144359,62,57,2,Usable,121,753
